1300 0.131868131868132 1 0.03546843940927
1350 0.294117647058823 1 0.049421650024518
1400 0.375 1 0.047472157832047
1450 0.617977528089888 1 0.05150338735078
1500 0.675675675675676 1 0.044432158731178
1550 0.679012345679012 1 0.051872895476513
1600 0.714285714285714 1 0.0473566817237
1650 0.778947368421053 1 0.042573572931051
1700 0.74 1 0.043863424398923
1750 0.595238095238095 1 0.053555679216812
1800 0.617647058823529 1 0.048117418633818
1850 0.522727272727273 1 0.0532450884498
1900 0.57 1 0.049507575177946
1950 0.455555555555556 1 0.052495998933043
